ticket_id,created_at,created_timestamp,status,first_solved_at,ticket_brand,ticket_channel,ticket_form,ticket_group,ticket_priority,ticket_type,submitter_role,requester_organization,is_one_touch_resolution,is_two_touch_resolution,is_multi_touch_resolution,first_assignment_to_resolution_calendar_minutes,requester_wait_time_in_calendar_minutes,ticket_satisfaction_score,first_reply_time_calendar_minutes,last_assignment_to_resolution_calendar_minutes,final_resolution_calendar_minutes,assignee_name
156301,2023-08-02 18:24:05.000000,2023-08-02 18:24:05.000000,closed,2023-08-02 21:04:57.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM US Office,normal,task,end-user,Wood Works,FALSE,FALSE,TRUE,138,96,bad,19.86666667,138,160,Angela Martin
156240,2023-08-02 15:16:01.000000,2023-08-02 15:16:01.000000,solved,2023-08-08 16:20:37.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM US Office,urgent,question,end-user,Gadget Man,FALSE,FALSE,TRUE,8469,408,bad,211.1333333,8469,8704,Meredith Palmer
155222,2023-07-27 22:12:04.000000,2023-07-27 22:12:04.000000,closed,2023-07-28 17:20:36.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM US Office,low,incident,end-user,Service Scientist,FALSE,FALSE,TRUE,1122,1132,bad,26.06666667,1122,1148,Roy Anderson
154682,2023-07-25 21:27:25.000000,2023-07-25 21:27:25.000000,closed,2023-07-25 21:34:59.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM US Office,high,problem,agent,Raven,FALSE,FALSE,TRUE,1,7,good,,1,7,Angela Martin
154102,2023-07-21 17:32:49.000000,2023-07-21 17:32:49.000000,closed,2023-07-24 19:01:47.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM US Office,normal,task,end-user,The Interactive College,FALSE,TRUE,FALSE,4397,21,bad,12.03333333,4397,4409,Creed Bratton
151496,2023-07-06 17:10:34.000000,2023-07-06 17:10:34.000000,hold,2023-07-22 00:01:35.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM The List 2,high,question,end-user,Active Body,FALSE,FALSE,FALSE,,33669,,436.9833333,,22011,Jim Halpert
156669,2023-08-04 15:23:39.000000,2023-08-04 15:23:39.000000,solved,2023-08-11 18:01:47.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM The List 1,low,problem,end-user,Gourmet Sandwich,FALSE,TRUE,FALSE,10219,119,good,118.5666667,10149,10238,Roy Anderson
158086,2023-08-14 17:51:11.000000,2023-08-14 17:51:11.000000,open,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,high,problem,end-user,Gawk Beauty,FALSE,FALSE,FALSE,,62,,,,,Jan Levinson
158081,2023-08-14 17:30:53.000000,2023-08-14 17:30:53.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,question,end-user,Coal Kings,FALSE,FALSE,FALSE,,30,,29.76666667,,,Ryan Howard
158078,2023-08-14 17:27:53.000000,2023-08-14 17:27:53.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,end-user,Think Ink,FALSE,FALSE,FALSE,,86,,,,,Darryl Philbin
158068,2023-08-14 17:02:59.000000,2023-08-14 17:02:59.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,problem,end-user,Clean Scissor,FALSE,FALSE,FALSE,,111,,69.41666667,,,Holly Flax
158050,2023-08-14 16:05:40.000000,2023-08-14 16:05:40.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,task,end-user,Service Scientist,FALSE,FALSE,FALSE,,9,,8.866666667,,,Kelly Kapoor
158048,2023-08-14 16:00:35.000000,2023-08-14 16:00:35.000000,hold,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,urgent,question,end-user,Brunchies,FALSE,FALSE,FALSE,,173,,5.433333333,,,Stanley Hudson
158039,2023-08-14 15:42:40.000000,2023-08-14 15:42:40.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,Service Scientist,FALSE,FALSE,FALSE,,178,,1.733333333,,,Angela Martin
158030,2023-08-14 15:00:28.000000,2023-08-14 15:00:28.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,problem,end-user,The Zone,FALSE,FALSE,FALSE,,233,,192.3333333,,,Pam Beesly (later Pam Halpert)
158023,2023-08-14 14:35:33.000000,2023-08-14 14:35:33.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,end-user,Brunchies,FALSE,FALSE,FALSE,,258,,,,,David Wallace
158014,2023-08-14 13:45:15.000000,2023-08-14 13:45:15.000000,new,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,question,end-user,Beep Sports,FALSE,FALSE,FALSE,,308,,,,,David Wallace
158009,2023-08-14 13:17:03.000000,2023-08-14 13:17:03.000000,solved,2023-08-14 13:48:58.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,incident,end-user,Trendy Scissor,FALSE,TRUE,FALSE,31,29,good,3.95,31,31,Erin Hannon (Kelly Erin Hannon)
158005,2023-08-14 12:21:03.000000,2023-08-14 12:21:03.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,incident,end-user,Hearty Pancake,FALSE,FALSE,FALSE,,15,,15.08333333,,,Kelly Kapoor
158003,2023-08-14 12:00:38.000000,2023-08-14 12:00:38.000000,hold,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,high,task,end-user,Beep Sports,FALSE,FALSE,FALSE,,413,,36.66666667,,,Dwight Schrute
157997,2023-08-14 10:45:04.000000,2023-08-14 10:45:04.000000,hold,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,low,question,end-user,Hospital Tutor,FALSE,FALSE,FALSE,,471,,262.3833333,,,Phyllis Vance
